reward,std
11.090909090909092,4.273694281288421
9.090909090909092,2.9681504940571832
8.909090909090908,3.0287874998104876
8.909090909090908,2.906248611481051
8.818181818181818,3.009626428590336
8.454545454545455,2.9034035313947837
8.363636363636363,2.7723546694503463
8.636363636363637,2.8049542946439114
8.818181818181818,2.9485954073139733
8.272727272727273,2.699862255439545
8.454545454545455,2.7090298955911525
8.636363636363637,2.8049542946439114
8.0,2.6628760937957834
8.727272727272727,2.7990553306073913
8.0,2.6285149626910838
8.545454545454545,2.7753340949952268
8.454545454545455,2.74238238709061
8.181818181818182,2.6566616720368104
8.272727272727273,2.73332661424962
8.909090909090908,2.8747978728803445
8.272727272727273,2.699862255439545
8.545454545454545,2.7753340949952268
9.0,2.860387767736777
8.636363636363637,2.8049542946439114
8.454545454545455,2.7753340949952268
8.454545454545455,2.74238238709061
8.636363636363637,2.8049542946439114
8.545454545454545,2.807899129360091
8.545454545454545,2.807899129360091
8.454545454545455,2.74238238709061
8.272727272727273,2.699862255439545
8.727272727272727,2.7990553306073913
8.545454545454545,2.807899129360091
8.545454545454545,2.74238238709061
8.181818181818182,2.690663379445226
8.090909090909092,2.6783490659374976
8.454545454545455,2.7090298955911525
8.545454545454545,2.74238238709061
8.454545454545455,2.74238238709061
8.454545454545455,2.74238238709061
8.181818181818182,2.622219109428356
8.545454545454545,2.8400907912387834
8.636363636363637,2.7723546694503467
8.272727272727273,2.73332661424962
8.363636363636363,2.739367122421702
8.636363636363637,2.8049542946439114
9.090909090909092,2.906248611481051
8.272727272727273,2.699862255439545
8.363636363636363,2.705977466570403
8.454545454545455,2.74238238709061
8.636363636363637,2.8049542946439114
8.818181818181818,2.8225772175018222
8.909090909090908,2.906248611481051
8.090909090909092,2.644189013136179
8.636363636363637,2.8049542946439114
8.272727272727273,2.699862255439545
8.727272727272727,2.7990553306073913
8.545454545454545,2.74238238709061
8.181818181818182,2.6566616720368104
8.545454545454545,2.7753340949952268
8.727272727272727,2.7990553306073913
8.636363636363637,2.7723546694503467
8.181818181818182,2.6566616720368104
8.727272727272727,2.86327559054975
8.545454545454545,2.8719216361693296
8.363636363636363,2.705977466570403
8.454545454545455,2.74238238709061
8.363636363636363,2.705977466570403
8.636363636363637,2.8049542946439114
8.909090909090908,2.8429992311112526
8.181818181818182,2.690663379445226
8.363636363636363,2.804954294643911
8.363636363636363,2.705977466570403
8.636363636363637,2.8049542946439114
8.181818181818182,2.690663379445226
8.636363636363637,2.7723546694503467
8.454545454545455,2.74238238709061
8.454545454545455,2.8400907912387834
8.636363636363637,2.8049542946439114
8.727272727272727,2.7990553306073913
8.454545454545455,2.7753340949952268
8.454545454545455,2.74238238709061
8.181818181818182,2.6566616720368104
8.636363636363637,2.7723546694503467
8.454545454545455,2.7753340949952268
8.545454545454545,2.74238238709061
8.363636363636363,2.705977466570403
8.545454545454545,2.7753340949952268
8.363636363636363,2.7723546694503463
8.727272727272727,2.831347545890443
8.454545454545455,2.74238238709061
8.727272727272727,2.7990553306073913
8.363636363636363,2.739367122421702
8.454545454545455,2.7753340949952268
8.909090909090908,2.8747978728803445
8.363636363636363,2.705977466570403
8.363636363636363,2.739367122421702
8.363636363636363,2.705977466570403
8.363636363636363,2.739367122421702
8.363636363636363,2.67217062849074
