reward,std
-443.37635664506394,218.91772012349224
-550.518349387429,237.8081268301725
-543.5897438742898,215.96027177761067
-520.0400945490056,260.1357025517608
-587.2592329545455,300.7694502696428
-552.4935385964134,224.93019392376536
-567.5935890891335,230.2363881511052
-459.8474148837003,224.95765631572644
-602.0666170987216,300.2314419911113
-540.9567232998935,245.33043529032628
-477.47955599698156,201.72422897444457
-565.2390830300071,284.958045891235
-486.36888261274856,197.8751581852203
-515.4293379350142,224.90634803083427
-544.7078080610795,251.16797356735222
-490.5787880637429,244.785382939638
-516.367129239169,209.53879051702626
-460.3359541459517,202.4732872567585
-542.2058854536576,225.9735292408691
-604.065410267223,259.8634238012135
-537.7345664284446,226.03810880550847
-432.4929282448509,155.56771460749312
-488.3258528275923,219.61879382692615
-603.4751059792259,270.8569829064341
-660.1474054509944,292.35124015729195
-540.3473593971946,203.61036508989102
-568.6196705211293,267.8240976119933
-504.60921963778407,232.3064971670486
-550.4699346368963,227.76202825343552
-530.6243424849076,280.74458830012514
-438.2896839488636,177.48859223677067
-490.460673939098,225.1495835997424
-416.1859408291903,142.55978139603022
-498.29994062943894,189.2409305133346
-455.71879438920456,193.03069954736765
-470.5878184925426,191.9901554856435
-555.2220569957386,254.34928485348473
-602.9484585848721,249.76573754961518
-457.1636657714844,198.91278565651461
-514.4601301713424,236.50986401110785
-604.9209483753551,245.77244156697193
-514.5315940163352,235.98532526977598
-512.8273592862216,215.71733462585226
-531.614501953125,249.29910745938486
-455.5468583540483,198.17056351212457
-565.5919272682884,290.30086638754267
-551.5042946555398,299.2492921957437
-529.3557212136009,234.68876297603927
-554.4020330255681,283.5060881089291
-556.8417691317471,287.6576426431756
-555.3916376287287,239.57649153425493
-486.8900257457386,191.0271406619913
-603.5221751819957,236.14222912715516
-566.057822487571,267.29728278436147
-492.197978626598,246.74620054104685
-522.0273465243253,222.4932200470295
-497.5747902610085,228.80425320767512
-539.9931113503196,250.0013117988454
-480.82924582741475,202.56591160362723
-467.62525801225144,211.0320225671605
-541.0692998712713,269.6198422986421
-613.5264753861861,277.2180732870283
-470.3351551402699,212.1634309422342
-644.4082724831321,243.69540553272847
-455.3936379172585,175.2534988791537
-463.331279407848,186.35245129331707
-507.73407259854406,232.71391033403347
-518.6414295543324,206.46646126959274
-514.2630559747869,234.90447695755861
-513.6553733132102,259.1059901368558
-562.9989402077415,220.3183737559109
-473.1431884765625,191.2965473001827
-538.4572726162997,239.6590179819197
-511.64851795543325,233.32719852266368
-668.6810996315696,268.14174900358034
-486.7880359996449,222.49032794538863
-577.038818359375,282.45214715596796
-503.7432833584872,236.16142947352677
-571.4058449485085,270.13274190511436
-508.72214577414775,221.60429956399324
-543.4502646706321,236.12805031705474
-550.3077891956676,254.54516466181747
-520.831934148615,235.71208847414977
-559.9300231933594,233.09567790482802
-401.75743241743606,146.5199992455247
-535.886288729581,239.5712103717592
-501.4658952192827,207.82375848701176
-483.9315185546875,181.43651605731625
-469.70782470703125,206.32409965070516
-566.9618419300426,262.10902550684693
-526.437050559304,231.91834875729114
-524.4584822221236,224.44779634026517
-480.02058549360794,201.339389825459
-494.0997314453125,239.5560113805022
-568.6346574263139,236.7687983030922
-542.5252158425071,226.68574268558592
-512.4780162464489,229.8054231945858
-447.5838068181818,183.64975887590433
-508.3662802956321,263.6336368550151
-513.886191628196,271.08494848390865
