,reward
0,-1.2770000000000001
1,-5.182999999999981
2,-8.916000000000228
3,-12.430999999999942
4,-13.647999999999822
5,-17.105999999999728
6,-18.12399999999975
7,-19.137999999999767
8,-22.514000000000227
9,-25.9000000000007
10,-26.97500000000079
11,-28.12300000000097
12,-29.291000000001176
13,-32.85400000000186
14,-34.01700000000148
15,-35.47700000000041
16,-36.58100000000017
17,-38.99999999999919
18,-42.92799999999703
19,-46.924999999994704
20,-48.30499999999382
21,-51.876999999992485
22,-52.399999999991266
23,-53.92099999999005
24,-54.953999999989975
25,-55.06899999998971
26,-58.76799999998808
27,-60.206999999987055
28,-64.02299999998516
29,-66.02199999998993
30,-67.0779999999902
31,-70.94699999999435
32,-74.94399999999911
33,-78.94100000000387
34,-82.90500000000847
35,-83.96700000000877
36,-86.71700000001235
37,-88.1260000000143
38,-90.50600000001612
39,-94.50300000002088
40,-96.0930000000237
41,-97.1160000000238
42,-101.10800000002854
43,-102.52700000003054
44,-103.61100000003094
45,-104.63700000003107
46,-108.22900000003389
47,-109.71000000003619
48,-111.24400000003874
49,-115.2410000000435
50,-116.5960000000452
51,-119.28100000004846
52,-119.76000000005075
53,-120.91200000005148
54,-122.91100000005625
55,-124.6560000000598
56,-126.65700000006458
57,-128.8690000000656
58,-131.44400000006834
59,-133.44500000007312
60,-133.9010000000753
61,-134.25400000007699
62,-135.37300000007755
63,-135.73200000007927
64,-137.73100000008404
65,-139.21800000008636
66,-140.09200000009054
67,-141.46900000009234
68,-143.4680000000971
69,-144.62600000009786
70,-145.42400000010167
71,-146.85700000010374
72,-148.54500000010702
73,-152.54200000011178
74,-155.4020000001159
75,-155.98500000011867
76,-158.5360000001213
77,-159.67800000012198
78,-160.88500000012297
79,-161.92200000012315
80,-163.92100000012792
81,-165.1920000001292
82,-168.62100000013126
83,-171.02100000013317
84,-173.31600000013458
85,-174.48300000013538
86,-174.77300000013676
87,-175.658000000141
88,-176.67200000014105
89,-177.94800000014237
90,-180.45100000014477
91,-181.2970000001488
92,-183.61900000015035
93,-185.1920000001531
94,-187.19100000015786
95,-191.18800000016262
96,-192.689000000165
97,-193.28800000016787
98,-194.28800000017264
99,-195.8650000001754
100,-197.44300000017816
101,-198.44300000018293
102,-200.93500000018528
103,-202.25900000018683
104,-205.62600000018858
105,-207.62500000019335
106,-207.9510000001949
107,-208.95100000019968
108,-209.95100000020446
109,-211.07900000020507
110,-212.39500000020658
111,-215.03600000020964
112,-216.18900000021037
113,-218.18800000021514
114,-220.02700000021915
115,-222.7100000002224
116,-223.34600000022544
117,-225.34500000023021
118,-226.96100000023316
119,-227.96100000023793
120,-229.8560000002422
121,-231.85500000024697
122,-233.23200000024877
123,-233.75100000025125
124,-234.75100000025603
125,-236.26200000025847
126,-237.34600000025887
127,-240.14300000026267
128,-243.14100000026744
129,-243.73000000027025
130,-246.72800000027502
131,-249.36900000027808
132,-251.84600000028036
133,-252.84600000028513
134,-255.8440000002899
135,-256.99300000029064
136,-258.99400000026696
137,-259.43100000025663
138,-261.430000000233
139,-262.58000000022946
140,-263.5800000002058
141,-263.90000000019825
142,-265.8990000001746
143,-267.898000000151
144,-270.39900000013915
145,-271.6560000001331
146,-272.4170000001151
147,-273.41700000009143
148,-277.197000000073
149,-278.19700000004934
150,-280.98800000003064
151,-282.9760000000073
152,-285.9739999999837
153,-287.57499999996946
154,-288.7259999999659
155,-289.72599999994225
156,-291.947999999937
157,-293.9489999999133
158,-295.9479999998897
159,-298.90999999986695
160,-300.2009999998601
161,-302.2019999998364
162,-304.0019999998175
163,-305.09299999981533
164,-306.40999999980784
165,-308.25099999978795
166,-313.2469999997644
167,-315.2459999997408
168,-316.31899999973905
169,-318.2139999997179
170,-320.2149999996942
171,-321.00399999967556
172,-323.1579999996719
173,-324.30799999966837
174,-325.5479999996627
175,-327.54699999963907
176,-329.54599999961545
177,-331.9919999996049
178,-332.99199999958125
179,-334.9929999995576
180,-335.27299999955096
181,-337.2739999995273
182,-337.80799999951466
183,-338.99399999951027
184,-340.5709999994966
185,-343.80999999949097
186,-345.80899999946735
187,-347.8099999994437
188,-350.37399999943034
189,-354.20299999941074
190,-355.2029999993871
191,-357.9419999993696
192,-359.4239999993582
193,-360.687999999352
194,-361.6879999993283
195,-362.6879999993047
196,-364.688999999281
197,-365.68599999925743
198,-367.4729999992388
199,-368.15299999922274
200,-372.14999999919917
201,-375.45599999919193
202,-379.45299999916836
203,-381.6159999991645
204,-383.6149999991409
205,-384.5439999991189
206,-385.8229999991123
207,-388.8209999990887
208,-389.18399999908013
209,-391.1829999990565
210,-392.18299999903286
211,-393.1829999990092
212,-394.2729999990071
213,-397.2709999989835
214,-400.7319999989726
215,-402.73099999894896
216,-404.2069999989377
217,-407.2049999989141
218,-408.4599999989081
219,-410.4609999988844
220,-410.9889999988719
221,-411.98899999884827
222,-412.9889999988246
223,-415.986999998801
224,-417.98799999877735
225,-419.3159999987696
226,-421.74899999875936
227,-423.2369999987478
228,-425.2359999987242
229,-426.5329999987172
230,-428.5339999986935
231,-430.5329999986699
232,-433.02099999865834
233,-433.6949999986424
234,-435.6939999986188
235,-437.3279999986038
236,-438.32799999858014
237,-440.49599999857617
238,-442.052999998563
239,-443.7939999985455
240,-445.5829999985268
241,-448.5809999985032
242,-449.95199999849444
243,-453.94899999847087
244,-454.1939999984651
245,-456.1949999984414
246,-457.03099999842163
247,-459.5189999984101
248,-460.51899999838645
249,-462.4219999983651
250,-462.48299999836365
251,-463.48299999834
252,-464.48299999831636
253,-465.5149999983156
254,-466.51499999829196
255,-468.51399999826833
256,-470.2139999982518
257,-471.95999999823414
258,-472.9599999982105
259,-474.18499999820517
260,-474.3539999982012
261,-475.8219999981901
262,-476.35699999817746
263,-477.83599999816613
264,-481.51599999815005
265,-482.5159999981264
266,-484.83999999811874
267,-486.0489999981138
268,-487.47799999810366
269,-488.7119999980981
270,-489.93099999809294
271,-490.9309999980693
272,-490.2869999980609
273,-491.3319999980598
274,-492.9489999980452
275,-496.69999999802747
276,-497.97499999802096
277,-499.3619999980118
278,-501.1499999979932
279,-502.27399999799024
280,-504.6809999979806
281,-507.4889999979615
282,-509.4879999979379
283,-509.4809999979144
284,-510.48099999789076
285,-512.9639999978793
286,-515.5939999978644
287,-516.5939999978408
288,-517.5939999978171
289,-518.5939999977935
290,-519.2809999977773
291,-520.2789999977537
292,-521.4279999977501
293,-521.8909999977392
294,-523.0989999977343
295,-525.0979999977106
296,-526.097999997687
297,-527.1989999976846
298,-528.0199999976652
299,-529.9699999976427
300,-532.9679999976191
301,-534.9689999975955
302,-536.2079999975898
303,-537.7889999975761
304,-539.3679999975624
305,-540.6489999975557
306,-542.6479999975321
307,-545.6459999975085
308,-545.9909999975004
309,-547.1099999974975
310,-549.1089999974739
311,-551.9299999974545
312,-553.9289999974309
313,-556.9269999974073
314,-558.8239999973861
315,-559.8239999973624
316,-561.8229999973388
317,-562.2289999973292
318,-563.2289999973056
319,-564.2289999972819
320,-565.2289999972583
321,-569.2259999972347
322,-570.7359999972226
323,-571.3249999972087
324,-575.3219999971851
325,-576.3219999971615
326,-577.3649999971605
327,-580.3629999971369
328,-581.3629999971132
329,-582.3629999970896
330,-583.5219999970858
331,-583.2439999970687
332,-584.2439999970451
333,-587.2419999970215
334,-587.2089999969986
335,-588.2909999969967
336,-591.2889999969731
337,-591.5939999969659
338,-593.5929999969422
339,-594.0559999969313
340,-595.0559999969076
341,-596.4669999968979
342,-598.4659999968743
343,-599.2529999968557
344,-601.747999996844
345,-604.7459999968204
346,-605.3389999968064
347,-606.4859999968029
348,-607.4859999967792
349,-609.4849999967556
350,-610.6109999967526
351,-610.8979999967459
352,-611.3429999967353
353,-614.3409999967117
354,-615.5959999967057
355,-616.047999996695
356,-616.3109999966888
357,-617.3109999966651
358,-618.3109999966415
359,-619.3109999966179
360,-619.8789999966044
361,-621.4709999965904
362,-622.4709999965668
363,-624.4719999965431
364,-625.4719999965195
365,-626.4719999964958
366,-626.887999996486
367,-627.8879999964623
368,-630.7219999964426
369,-631.721999996419
370,-633.7229999963953
371,-634.7389999963949
372,-638.7359999963713
373,-640.1899999963606
374,-644.186999996337
375,-644.3689999963327
376,-645.780999996323
377,-647.0299999963171
378,-649.2699999963114
379,-650.3859999963087
380,-652.258999996288
381,-652.5609999962809
382,-653.484999996259
383,-654.5519999962575
384,-655.6849999962543
385,-656.2809999962402
386,-657.2809999962166
387,-658.2809999961929
388,-659.2809999961693
389,-660.1169999961495
390,-661.3799999961433
391,-662.9559999961297
392,-664.2489999961227
393,-664.6289999961137
394,-667.4359999960947
395,-667.8699999960844
396,-669.8689999960608
397,-670.8689999960371
398,-671.8689999960135
399,-673.0369999960095
400,-674.2619999960042
401,-678.2589999959806
402,-678.6779999959707
403,-679.6779999959471
404,-680.4809999959281
405,-681.2179999959106
406,-681.624999995901
407,-682.6249999958774
408,-683.6249999958537
409,-684.6249999958301
410,-685.6249999958064
411,-687.1859999957932
412,-687.9939999957741
413,-689.4769999957626
414,-690.476999995739
415,-692.4759999957154
416,-693.083999995701
417,-695.0829999956774
418,-699.0799999956538
419,-700.1339999956525
420,-701.1339999956289
421,-703.1349999956052
422,-704.8049999955894
423,-706.0529999955835
424,-707.0529999955598
425,-710.0509999955362
426,-712.0519999955126
427,-713.0519999954889
428,-713.5659999954768
429,-714.5659999954531
430,-716.5649999954295
431,-717.178999995415
432,-719.9069999953978
433,-720.9069999953741
434,-721.9069999953505
435,-722.4519999953376
436,-723.4519999953139
437,-724.4519999952903
438,-725.6559999952855
439,-726.31199999527
440,-727.3119999952463
441,-728.3119999952227
442,-730.312999995199
443,-730.817999995187
444,-731.3949999951734
445,-732.3949999951498
446,-732.8269999951395
447,-733.8269999951159
448,-734.948999995113
449,-735.9489999950894
450,-736.9489999950657
451,-740.9459999950421
452,-741.1059999950384
453,-742.2089999950359
454,-742.9119999950193
455,-744.9129999949956
456,-745.912999994972
457,-747.8299999949503
458,-748.8299999949267
459,-749.829999994903
460,-751.7259999948818
461,-752.7259999948582
462,-753.7259999948345
463,-754.7259999948109
464,-755.7259999947872
465,-756.5119999947686
