,reward
0,1.1289999999999991
1,1.881000000000013
2,2.7070000000000323
3,3.2520000000000824
4,3.540000000000161
5,4.515000000000164
6,4.628000000000034
7,4.657999999999863
8,5.352999999999761
9,6.189999999999706
10,7.10999999999968
11,7.760999999999563
12,8.51099999999948
13,9.335999999999578
14,10.073999999999723
15,10.311000000000146
16,11.114000000000255
17,11.841000000000406
18,12.489000000000601
19,13.443000000000627
20,14.304000000000704
21,14.924000000000914
22,15.628000000001078
23,16.365000000001224
24,16.969000000000797
25,17.631000000000384
26,18.421000000000127
27,19.164999999999814
28,19.902999999999494
29,20.641999999999175
30,21.346999999998815
31,22.058999999998463
32,22.800999999998147
33,23.74699999999808
34,24.66299999999798
35,25.395999999997652
36,26.22899999999745
37,27.095999999997286
38,27.74899999999686
39,28.62499999999671
40,29.589999999996667
41,30.393999999996428
42,31.153999999996135
43,31.894999999995818
44,32.72599999999561
45,33.51099999999611
46,34.35299999999648
47,35.17499999999689
48,35.96699999999738
49,36.45199999999858
50,37.340999999998836
51,38.13799999999931
52,38.90099999999986
53,39.73300000000025
54,40.582000000000605
55,41.389000000001055
56,42.1120000000017
57,42.92800000000213
58,43.818000000002385
59,44.603000000002886
60,45.582000000002935
61,46.265000000003674
62,47.179000000003875
63,48.063000000004145
64,48.696000000005
65,49.591000000005245
66,50.570000000005294
67,51.37500000000575
68,51.810000000007065
69,52.62900000000749
70,53.437000000007934
71,54.43100000000795
72,55.37000000000809
73,56.063000000008806
74,56.7230000000096
75,57.549000000010004
76,58.424000000010295
77,59.223000000010764
78,60.08800000001108
79,60.896000000011526
80,61.68100000001203
81,62.51800000001241
82,63.47000000001252
83,64.23200000001307
84,65.14300000001265
85,66.07200000001231
86,66.64200000001026
87,67.30800000000866
88,68.20400000000816
89,68.91400000000678
90,69.82100000000634
91,70.76000000000604
92,71.52400000000492
93,72.29200000000381
94,73.18800000000331
95,73.913000000002
96,74.74200000000118
97,75.52900000000017
98,76.46899999999988
99,77.31099999999913
100,78.2649999999989
101,78.89899999999716
102,79.57699999999562
103,80.48399999999518
104,81.44299999999498
105,82.2999999999943
106,83.18199999999374
107,83.94899999999262
108,84.90799999999243
109,85.57099999999082
110,86.28599999998946
111,87.10999999998862
112,87.63399999998634
113,88.3949999999852
114,89.26399999998458
115,90.15699999998407
116,90.76399999998219
117,91.69199999998185
118,92.64299999998161
119,93.30599999998
120,94.03799999997872
121,94.84199999997779
122,95.7599999999774
123,96.49599999997614
124,97.29699999997518
125,98.24899999997496
126,99.16999999997458
127,100.00899999997381
128,100.85799999997309
129,101.78499999997274
130,102.63199999997201
131,103.52699999997151
132,104.34199999997062
133,105.24999999997019
134,106.1909999999699
135,106.99899999996899
136,107.69599999996754
137,108.57499999996696
138,109.50399999996662
139,110.12499999996481
140,111.0389999999644
141,111.90299999996375
142,112.84099999996346
143,113.75999999996307
144,114.68999999996274
145,115.46799999996168
146,116.31399999996094
147,117.25299999996065
148,118.19599999996038
149,119.02599999995957
150,119.92099999995907
151,120.85199999995874
152,121.54499999995727
153,122.4059999999566
154,123.279999999956
155,124.13799999995533
156,125.07199999995501
157,125.89299999995416
158,126.69499999995321
159,127.61899999995285
160,128.51999999995238
161,129.3769999999517
162,130.3559999999516
163,131.13499999995054
164,132.12399999995048
165,133.05499999995016
166,133.88199999994933
167,134.76199999994876
168,135.73699999994864
169,136.65399999994824
170,137.603999999948
171,138.48999999994746
172,139.32499999994667
173,140.30199999994656
174,141.15399999994585
175,142.11599999994567
176,142.9359999999448
177,143.87699999994453
178,144.7839999999441
179,145.52599999994285
180,146.43999999994244
181,147.34199999994198
182,148.24799999994153
183,149.04999999994058
184,149.90299999993988
185,150.4249999999376
186,151.087999999936
187,151.97199999993543
188,152.95499999993535
189,153.84599999993483
190,154.80899999993466
191,155.76199999993443
192,156.68299999993405
193,157.5849999999336
194,158.5249999999333
195,159.41099999993276
196,160.35299999993248
197,161.05799999993107
198,162.04999999993103
199,162.93199999993047
200,163.78299999992976
201,164.71599999992944
202,165.56699999992873
203,166.42399999992804
204,167.25199999992722
205,167.96999999992588
206,168.90199999992555
207,169.67099999992445
208,170.55999999992392
209,171.47899999992353
210,172.40099999992316
211,173.36299999992298
212,174.22699999992233
213,175.04699999992147
214,175.87299999992064
215,176.81099999992034
216,177.74899999992004
217,178.58099999991924
218,179.45199999991863
219,180.31499999991797
220,181.23999999991761
221,182.18899999991737
222,183.07499999991683
223,184.04199999991667
224,185.0049999999165
225,185.91599999991607
226,186.80899999991556
227,187.7359999999152
228,188.70199999991505
229,189.57599999991444
230,190.275999999913
231,190.97099999991156
232,191.95099999991146
233,192.76599999991058
234,193.64999999991002
235,194.36599999990867
236,195.21799999990796
237,196.15799999990767
238,197.0569999999072
239,197.9769999999068
240,198.90099999990645
241,199.8889999999064
242,200.75399999990574
243,201.67599999990537
244,202.5559999999048
245,203.41399999990412
246,204.33299999990373
247,205.0749999999025
248,206.03999999990234
249,206.95299999990192
250,207.83099999990134
251,208.72199999990082
252,209.59999999990023
253,210.50599999989979
254,211.37399999989916
255,212.12899999989799
256,213.0039999998974
257,213.9029999998969
258,214.78499999989634
259,215.65599999989573
260,216.61799999989555
261,217.4409999998947
262,218.33999999989422
263,219.28399999989395
264,220.25999999989384
265,221.09499999989305
266,221.97399999989247
