,reward
0,-1.2640000000000002
1,-2.3899999999999864
2,-3.5499999999999687
3,-3.211999999999989
4,-2.8619999999999175
5,-4.058999999999896
6,-4.118999999999915
7,-5.2059999999999444
8,-5.293999999999968
9,-5.517000000000042
10,-4.581000000000063
11,-2.8650000000001454
12,-4.1460000000001145
13,-3.161000000000119
14,-4.536000000000078
15,-4.784000000000159
16,-3.208000000000298
17,-1.454000000000271
18,-1.6370000000002518
19,-2.8940000000002235
20,-4.074000000000204
21,-3.523000000000354
22,-2.8020000000003233
23,-0.9310000000003114
24,-1.1700000000002926
25,-0.33600000000028574
26,0.3459999999997154
27,1.7229999999997583
28,3.642999999999767
29,3.2269999999997134
30,4.0099999999997324
31,3.7989999999997517
32,3.7819999999997522
33,2.629999999999769
34,3.3919999999997943
35,4.100999999999827
36,5.062999999999814
37,4.501999999999627
38,6.27299999999955
39,6.520999999999302
40,7.341999999999242
41,9.186999999999196
42,9.132999999999226
43,10.58499999999953
44,10.546999999999551
45,12.173999999999758
46,13.0989999999998
47,14.758999999999988
48,16.56400000000004
49,18.43499999999988
50,19.436999999998662
51,21.23199999999841
52,22.19799999999837
53,21.651999999997702
54,22.041999999996957
55,21.87199999999675
56,20.532999999996335
57,20.181999999995906
58,20.171999999995894
59,21.722999999995345
60,22.664999999995274
61,24.507999999995082
62,25.403999999994955
63,26.7029999999941
64,26.99299999999323
65,28.792999999992986
66,27.645999999992807
67,29.079999999992115
68,30.529999999991514
69,29.416999999991376
70,30.16799999999107
71,28.997999999990864
72,29.532999999990295
73,30.96999999999098
74,31.971999999992885
75,33.38699999999309
76,34.34599999999318
77,35.56099999999501
78,35.42799999999532
79,34.38899999999541
80,35.172999999995916
81,36.083999999996124
82,36.08699999999845
83,36.040999999998554
84,37.49399999999983
85,39.22000000000047
86,40.03900000000089
87,38.960000000001074
88,40.84500000000134
89,42.685000000001715
90,44.58100000000196
91,43.44800000000227
92,42.40700000000236
93,44.015000000003276
94,45.69700000000402
95,46.655000000004115
96,48.587000000004274
97,48.45900000000457
98,49.39400000000472
99,50.35400000000482
100,49.25000000000506
101,50.08300000000545
102,51.00900000000562
103,51.960000000005735
104,52.94100000000578
105,53.8890000000059
106,52.60600000000656
107,53.488000000006835
108,54.39900000000704
109,54.32000000000723
110,53.32200000000955
111,54.3010000000096
112,53.63800000001115
113,54.360000000011794
114,53.272000000012
115,52.20400000001216
